Year,Turnout_Rate,Election_Type
1789,11.6,Presidential
1790,21.6,Midterm
1792,6.3,Presidential
1794,25.0,Midterm
1796,20.1,Presidential
1798,36.0,Midterm
1800,32.3,Presidential
1802,42.0,Midterm
1804,23.8,Presidential
1806,45.8,Midterm
1808,36.8,Presidential
1810,49.8,Midterm
1812,40.4,Presidential
1814,52.8,Midterm
1816,16.9,Presidential
1818,41.1,Midterm
1820,10.1,Presidential
1822,44.7,Midterm
1824,26.9,Presidential
1826,50.1,Midterm
1828,57.3,Presidential
1830,55.7,Midterm
1832,57.0,Presidential
1834,63.0,Midterm
1836,56.5,Presidential
1838,70.8,Midterm
1840,80.3,Presidential
1842,61.8,Midterm
1844,79.2,Presidential
1846,60.3,Midterm
1848,72.8,Presidential
1850,60.5,Midterm
1852,69.5,Presidential
1854,66.1,Midterm
1856,79.4,Presidential
1858,69.1,Midterm
1860,81.8,Presidential
1862,65.1,Midterm
1864,76.3,Presidential
1866,71.4,Midterm
1868,80.9,Presidential
1870,67.0,Midterm
1872,72.1,Presidential
1874,65.0,Midterm
1876,82.6,Presidential
1878,65.2,Midterm
1880,80.5,Presidential
1882,65.7,Midterm
1884,78.2,Presidential
1886,63.9,Midterm
1888,80.5,Presidential
1890,64.6,Midterm
1892,75.8,Presidential
1894,67.4,Midterm
1896,79.6,Presidential
1898,60.1,Midterm
1900,73.7,Presidential
1902,55.6,Midterm
1904,65.5,Presidential
1906,51.3,Midterm
1908,65.7,Presidential
1910,52.0,Midterm
1912,59.0,Presidential
1914,50.4,Midterm
1916,61.8,Presidential
1918,39.9,Midterm
1920,49.2,Presidential
1922,35.7,Midterm
1924,48.9,Presidential
1926,32.9,Midterm
1928,56.9,Presidential
1930,36.7,Midterm
1932,56.9,Presidential
1934,44.5,Midterm
1936,61.0,Presidential
1938,46.6,Midterm
1940,62.4,Presidential
1942,33.9,Midterm
1944,55.9,Presidential
1946,38.8,Midterm
1948,52.2,Presidential
1950,43.6,Midterm
1952,62.3,Presidential
1954,43.5,Midterm
1956,60.2,Presidential
1958,45.0,Midterm
1960,63.8,Presidential
1962,47.7,Midterm
1964,62.8,Presidential
1966,48.7,Midterm
1968,62.5,Presidential
1970,47.3,Midterm
1972,56.2,Presidential
1974,39.1,Midterm
1976,54.8,Presidential
1978,39.0,Midterm
1980,54.2,Presidential
1982,42.0,Midterm
1984,55.2,Presidential
1986,38.1,Midterm
1988,52.8,Presidential
1990,38.4,Midterm
1992,58.1,Presidential
1994,41.1,Midterm
1996,51.7,Presidential
1998,38.1,Midterm
2000,54.2,Presidential
2002,39.5,Midterm
2004,60.1,Presidential
2006,40.4,Midterm
2008,61.6,Presidential
2010,41.0,Midterm
2012,58.6,Presidential
2014,36.7,Midterm
2016,60.1,Presidential
2018,50.0,Midterm
2020,66.6,Presidential
2022,46.0,Midterm
